,Start,End,Timespan
0,2024-08-07 13:46:00,2024-08-07 15:04:00,0 days 01:18:00
1,2024-08-07 16:47:00,2024-08-07 18:28:00,0 days 01:41:00
2,2024-08-08 01:48:00,2024-08-08 05:18:00,0 days 03:30:00
3,2024-08-08 13:07:00,2024-08-08 14:11:00,0 days 01:04:00
4,2024-08-08 15:20:00,2024-08-08 16:42:00,0 days 01:22:00
5,2024-08-08 18:50:00,2024-08-08 19:37:00,0 days 00:47:00
6,2024-08-09 13:45:00,2024-08-09 14:53:00,0 days 01:08:00
7,2024-08-11 19:46:00,2024-08-11 20:26:00,0 days 00:40:00
8,2024-08-11 20:35:00,2024-08-11 21:09:00,0 days 00:34:00
9,2024-08-11 21:36:00,2024-08-12 00:35:00,0 days 02:59:00
10,2024-08-12 01:28:00,2024-08-12 02:13:00,0 days 00:45:00
11,2024-08-13 23:43:00,2024-08-14 01:20:00,0 days 01:37:00
12,2024-08-15 20:57:00,2024-08-15 22:27:00,0 days 01:30:00
13,2024-08-16 19:29:00,2024-08-17 00:48:00,0 days 05:19:00
14,2024-08-17 01:35:00,2024-08-17 02:25:00,0 days 00:50:00
15,2024-08-17 05:22:00,2024-08-17 06:47:00,0 days 01:25:00
16,2024-08-17 20:20:00,2024-08-18 03:29:00,0 days 07:09:00
17,2024-08-18 03:55:00,2024-08-18 04:36:00,0 days 00:41:00
18,2024-08-18 05:28:00,2024-08-18 16:14:00,0 days 10:46:00
19,2024-08-18 19:24:00,2024-08-19 22:30:00,1 days 03:06:00
20,2024-08-19 23:46:00,2024-08-20 00:16:00,0 days 00:30:00
21,2024-08-20 00:45:00,2024-08-20 09:50:00,0 days 09:05:00
22,2024-08-20 16:21:00,2024-08-20 17:54:00,0 days 01:33:00
23,2024-08-20 18:24:00,2024-08-20 19:22:00,0 days 00:58:00
24,2024-08-21 00:36:00,2024-08-21 07:11:00,0 days 06:35:00
25,2024-08-21 08:13:00,2024-08-21 19:33:00,0 days 11:20:00
26,2024-08-21 21:01:00,2024-08-22 11:18:00,0 days 14:17:00
27,2024-08-22 17:51:00,2024-08-22 20:25:00,0 days 02:34:00
28,2024-08-22 23:33:00,2024-08-23 00:21:00,0 days 00:48:00
29,2024-08-24 18:22:00,2024-08-24 19:20:00,0 days 00:58:00
30,2024-08-25 04:01:00,2024-08-25 09:38:00,0 days 05:37:00
31,2024-08-25 15:24:00,2024-08-25 16:07:00,0 days 00:43:00
32,2024-08-25 16:11:00,2024-08-25 17:17:00,0 days 01:06:00
33,2024-08-25 17:21:00,2024-08-25 18:10:00,0 days 00:49:00
34,2024-08-25 19:34:00,2024-08-25 21:24:00,0 days 01:50:00
35,2024-08-25 21:42:00,2024-08-25 23:01:00,0 days 01:19:00
36,2024-08-26 00:42:00,2024-08-26 02:30:00,0 days 01:48:00
37,2024-08-26 04:12:00,2024-08-26 04:57:00,0 days 00:45:00
38,2024-08-26 05:31:00,2024-08-26 09:20:00,0 days 03:49:00
39,2024-08-26 22:54:00,2024-08-27 03:23:00,0 days 04:29:00
40,2024-08-27 21:05:00,2024-08-28 04:56:00,0 days 07:51:00
41,2024-08-28 18:48:00,2024-08-28 21:11:00,0 days 02:23:00
42,2024-08-29 17:14:00,2024-08-29 19:52:00,0 days 02:38:00
43,2024-08-30 21:46:00,2024-08-31 01:13:00,0 days 03:27:00
44,2024-08-31 19:26:00,2024-08-31 20:13:00,0 days 00:47:00
45,2024-08-31 20:52:00,2024-08-31 22:52:00,0 days 02:00:00
46,2024-08-31 23:34:00,2024-09-01 02:30:00,0 days 02:56:00
47,2024-09-01 17:55:00,2024-09-01 19:40:00,0 days 01:45:00
48,2024-09-01 20:20:00,2024-09-01 21:06:00,0 days 00:46:00
49,2024-09-02 18:22:00,2024-09-02 20:31:00,0 days 02:09:00
50,2024-09-02 20:56:00,2024-09-02 23:17:00,0 days 02:21:00
51,2024-09-03 16:19:00,2024-09-03 19:06:00,0 days 02:47:00
52,2024-09-03 19:51:00,2024-09-03 22:07:00,0 days 02:16:00
53,2024-09-04 00:54:00,2024-09-04 01:30:00,0 days 00:36:00
54,2024-09-04 17:19:00,2024-09-04 18:42:00,0 days 01:23:00
55,2024-09-04 18:45:00,2024-09-05 04:28:00,0 days 09:43:00
56,2024-09-05 07:54:00,2024-09-05 09:28:00,0 days 01:34:00
57,2024-09-05 11:19:00,2024-09-06 05:08:00,0 days 17:49:00
58,2024-09-06 07:31:00,2024-09-06 15:49:00,0 days 08:18:00
59,2024-09-06 16:12:00,2024-09-06 18:34:00,0 days 02:22:00
60,2024-09-06 19:31:00,2024-09-06 20:09:00,0 days 00:38:00
61,2024-09-06 21:01:00,2024-09-06 23:07:00,0 days 02:06:00
62,2024-09-07 11:12:00,2024-09-07 15:17:00,0 days 04:05:00
63,2024-09-08 13:04:00,2024-09-08 13:56:00,0 days 00:52:00
64,2024-09-08 14:48:00,2024-09-09 13:56:00,0 days 23:08:00
65,2024-09-09 15:18:00,2024-09-10 10:14:00,0 days 18:56:00
66,2024-09-10 11:08:00,2024-09-10 17:53:00,0 days 06:45:00
67,2024-09-11 01:01:00,2024-09-11 03:06:00,0 days 02:05:00
68,2024-09-11 05:04:00,2024-09-11 07:58:00,0 days 02:54:00
69,2024-09-11 14:01:00,2024-09-12 03:11:00,0 days 13:10:00
70,2024-09-12 04:58:00,2024-09-12 07:07:00,0 days 02:09:00
71,2024-09-12 07:37:00,2024-09-12 12:45:00,0 days 05:08:00
72,2024-09-12 13:19:00,2024-09-12 23:48:00,0 days 10:29:00
